IndivID,Name,Source,gwasID,Block,InitLeafLen,Bolting,Score
1,Uk-3,CS1577,10022,1,25,0,2
2,Hovdala-2,CS76937,6039,1,24,0,1
3,Lm-2,CS1345,8329,1,33,1,1
4,Edi-0,CS22657,6914,1,35,0,0
5,HR-5,CS22596,6924,1,19,0,0
6,Kno-10,CS22566,6927,1,28,0,1
7,Pi-0,CS1455,7298,1,31,1,0
8,Ler-1,CS22618,6932,1,22,1,1
9,Petergof,CS926,7296,1,24,0,1
10,NFA-8,CS22598,6944,1,35,0,1
11,Hs-0,CS1237,8310,1,30,0,1
12,Spr1-6,CS22583,6965,1,35,0,1
13,Ull2-5,CS22586,6974,1,32,0,1
14,Nw-0,CS1409,7258,1,44,1,2
15,Ka-0,CS1267,8314,1,22,1,2
16,Kavlinge-1,CS76964,8237,1,31,0,0
17,Duk,CS76824,6008,1,35,1,1
18,Ts-5,CS22648,6971,1,31,0,2
19,Tamm-2,CS22604,6968,1,23,0,3
20,Fab-2,CS22576,6917,1,36,0,2
21,NC-6,CS77124,8246,1,30,0,0
22,RRS-10,CS22565,7515,1,35,0,1
23,Gul1-2,CS76896,8234,1,38,0,0
24,HR-10,CS22597,6923,1,27,1,0
25,Se-0,CS22646,6961,1,35,0,1
26,Bil-7,CS22579,6901,1,20,0,1
27,Tottarp-2,CS77381,6243,1,30,1,1
28,Kni-1,CS76970,6040,1,18,0,2
29,Or-1,CS77150,6074,1,34,0,2
30,Gr-1,CS1199,8300,1,39,0,3
31,Ei-2,CS22616,6915,1,26,0,0
32,Fr-2,CS1169,7133,1,21,1,1
33,Rmx-A180,CS22569,7525,1,33,0,1
34,Zu-0,CS78880,7417,1,30,0,3
35,Ta-0,CS1549,8389,1,29,0,2
36,Pna-17,CS22570,7523,1,23,0,2
37,Wil-1,CS1595,8419,1,25,1,1
38,Est-1,CS22629,6916,1,30,0,2
39,Stw-0,CS1539,8388,1,37,1,1
40,Ct-1,CS22639,6910,1,32,1,1
41,Ga-0,CS22634,6919,1,22,0,2
42,Bor-4,CS22591,6903,1,21,1,2
43,Lis-2,CS77043,8222,1,46,0,2
44,Mir-0,CS1379,8337,1,17,0,2
45,Br-0,CS22628,6904,1,28,0,3
46,Lz-0,CS22615,6936,1,35,0,4
47,Lp2-6,CS22595,7521,1,33,0,1
48,Lis-1,CS77042,8326,1,42,0,2
49,Is-0,CS1241,8312,1,29,0,1
50,N13,CS22491,7438,1,31,0,2
51,Ba5-1,CS76678,8259,1,29,0,1
52,Mz-0,CS22636,6940,1,30,1,2
53,Dra3-1,CS76811,8283,1,38,0,3
54,Mr-0,CS22640,7522,1,25,0,2
55,Ost-0,CS1431,8351,1,39,0,3
56,Col-0,CS22625,6909,1,29,1,2
57,Wt-5,CS22637,6982,1,30,0,2
58,Eden-1,CS22572,6009,1,25,0,2
59,Bil-5,CS22578,6900,1,15,0,3
60,Ms-0,CS22655,6938,1,24,0,3
61,Sf-1,CS6855,7327,1,31,0,4
62,Mt-0,CS22642,6939,1,33,1,1
63,In-0,CS1239,8311,1,40,1,2
64,Can-0,CS1065,8274,1,35,0,1
65,H55,CS923,7461,1,31,1,1
66,Ang-0,CS949,6992,1,34,1,2
67,Nok-3,CS22643,6945,1,45,0,3
68,Fei-0,CS22645,8215,1,32,0,1
69,Kin-0,CS22654,6926,1,33,1,2
70,Pu2-8,CS22449,6953,1,23,0,2
71,San-2,CS77233,8247,1,26,0,2
72,Co,CS3180,7081,1,31,1,2
73,Wu-0,CS6897,7415,1,19,1,1
74,Kno-18,CS22567,6928,1,31,0,2
75,Rmx-A02,CS22568,7524,1,34,0,1
76,Bu-0,CS1007,8271,1,23,0,2
77,Gu-0,CS22617,6922,1,37,1,1
78,Pla-0,CS1459,7300,1,34,1,1
79,Sap-0,CS1507,8378,1,29,1,0
80,Ren-11,CS22611,6960,1,34,1,0
81,Vastervik,CS78834,9058,1,24,0,1
82,Kondara,CS22651,6929,1,25,0,0
83,Lu-1,CS1353,8334,1,33,0,2
84,Pu2-7,CS22592,6956,1,24,0,2
85,Ba4-1,CS76677,8258,1,34,0,2
86,Sav-0,CS1515,8412,1,29,0,1
87,Rd-0,CS1483,8366,1,32,0,3
88,Ull1-1,CS78816,8426,1,38,1,2
89,Ts-1,CS22647,6970,1,25,1,0
90,Bg-2,CS22342,6709,1,23,0,1
91,C24,CS22620,6906,1,24,1,3
92,Ren-1,CS22610,6959,1,28,0,1
93,Gy-0,CS22631,8214,1,30,0,2
94,Bro1-6,CS76726,8231,1,31,0,2
95,Bla-1,CS971,7015,1,29,1,1
96,Buckhorn_Pass,CS8067,7033,1,28,0,3
97,Van-0,CS22627,6977,1,26,0,2
98,Col(gl1-2),CS3126,2,1,25,0,1
99,Oy-0,CS22658,6946,1,39,0,2
